source_id,pmcid,doi,license,license_checked_by,figures
s01,PMC8537294,10.3390/nano11102642,CC BY,EPMC,2;3;4;5;7;8
s02,PMC11123087,10.3390/ma17102190,CC BY,EPMC,2;3
s03,PMC11728604,10.3390/nano14242021,CC BY,EPMC,1;2
s04,PMC7023349,10.3390/nano10010075,CC BY,EPMC,2;3
s05,PMC9071935,10.1039/c9ra06219j,CC BY,EPMC,2;3;4
s07,PMC4609947,10.1038/srep15313,CC BY,EPMC,1
s08,PMC9772214,10.1038/s41598-022-26185-z,CC BY,EPMC,1;2;5
s09,PMC7911554,10.3390/mi12020137,CC BY,EPMC,1
s10,PMC10342866,10.3390/ma16134795,CC BY,EPMC,2
